Class,CBO,DIT,LCOM,WMC
org.apache.fontbox.ttf.OTLTable-2.0.30,3,1.0,0,1
org.apache.fontbox.ttf.OpenTypeFont-2.0.30,15,1.0,1,10
org.apache.fontbox.ttf.OpenTypeScript-2.0.30,3,0.0,1,21
org.apache.fontbox.ttf.PostScriptTable-2.0.30,11,1.0,1,40
org.apache.fontbox.ttf.RAFDataStream-2.0.30,5,1.0,2,13
org.apache.fontbox.ttf.RAFDataStreamTest-2.0.30,1,0.0,1,1
org.apache.fontbox.ttf.SubstitutingCmapLookup-2.0.30,5,0.0,1,3
org.apache.fontbox.ttf.TTCDataStream-2.0.30,2,1.0,2,11
org.apache.fontbox.ttf.TTFDataStream-2.0.30,36,0.0,8,20
org.apache.fontbox.ttf.TTFParser-2.0.30,37,0.0,2,48
org.apache.fontbox.ttf.TTFSubsetter-2.0.30,18,0.0,1,108
org.apache.fontbox.ttf.TTFSubsetterTest-2.0.30,7,0.0,6,11
org.apache.fontbox.ttf.TTFTable-2.0.30,24,0.0,6,11
org.apache.fontbox.ttf.TestCMapSubtable-2.0.30,6,0.0,1,1
org.apache.fontbox.ttf.TestMemoryTTFDataStream-2.0.30,1,2.0,1,2
org.apache.fontbox.ttf.TestTTFParser-2.0.30,7,0.0,2,4
org.apache.fontbox.ttf.TrueTypeCollection-2.0.30,13,0.0,1,15
org.apache.fontbox.ttf.TrueTypeFont-2.0.30,59,0.0,2,82
org.apache.fontbox.ttf.TrueTypeFontCollectionTest-2.0.30,1,0.0,1,1
org.apache.fontbox.ttf.VerticalHeaderTable-2.0.30,6,1.0,1,19
org.apache.fontbox.ttf.VerticalMetricsTable-2.0.30,7,1.0,1,12
org.apache.fontbox.ttf.VerticalOriginTable-2.0.30,4,1.0,1,6
org.apache.fontbox.ttf.WGL4Names-2.0.30,2,0.0,0,2
org.apache.fontbox.type1.DamagedFontException-2.0.30,3,0.0,0,1
org.apache.fontbox.type1.Token-2.0.30,5,0.0,3,11
org.apache.fontbox.type1.Token.Kind-2.0.30,3,,2,0
org.apache.fontbox.type1.Type1Font-2.0.30,15,0.0,36,47
org.apache.fontbox.type1.Type1Lexer-2.0.30,5,0.0,1,67
org.apache.fontbox.type1.Type1LexerTest-2.0.30,4,0.0,1,9
org.apache.fontbox.type1.Type1Parser-2.0.30,7,0.0,1,146
org.apache.fontbox.util.BoundingBox-2.0.30,27,0.0,1,15
org.apache.fontbox.util.Charsets-2.0.30,10,0.0,0,1
org.apache.fontbox.util.autodetect.FontFileFinder-2.0.30,8,0.0,1,20
org.apache.fontbox.util.autodetect.MacFontDirFinder-2.0.30,2,1.0,1,1
org.apache.fontbox.util.autodetect.NativeFontDirFinder-2.0.30,4,0.0,1,4
org.apache.fontbox.util.autodetect.OS400FontDirFinder-2.0.30,2,1.0,1,1
org.apache.fontbox.util.autodetect.UnixFontDirFinder-2.0.30,2,1.0,1,1
org.apache.fontbox.util.autodetect.WindowsFontDirFinder-2.0.30,3,0.0,1,15
org.apache.pdfbox.ParallelParameterized-2.0.30,3,4.0,0,2
org.apache.pdfbox.ParallelParameterized.FixedThreadPoolScheduler-2.0.30,1,0.0,1,4
org.apache.pdfbox.contentstream.PDFGraphicsStreamEngine-2.0.30,74,1.0,14,2
org.apache.pdfbox.contentstream.PDFStreamEngine-2.0.30,113,0.0,5,93
org.apache.pdfbox.contentstream.operator.DrawObject-2.0.30,14,1.0,2,8
org.apache.pdfbox.contentstream.operator.MissingOperandException-2.0.30,34,0.0,0,1
org.apache.pdfbox.contentstream.operator.Operator-2.0.30,85,0.0,4,12
org.apache.pdfbox.contentstream.operator.OperatorName-2.0.30,89,0.0,0,1
org.apache.pdfbox.contentstream.operator.OperatorProcessor-2.0.30,54,0.0,4,6
org.apache.pdfbox.contentstream.operator.color.SetColor-2.0.30,17,1.0,2,4
org.apache.pdfbox.contentstream.operator.color.SetNonStrokingColor-2.0.30,14,2.0,2,4
org.apache.pdfbox.contentstream.operator.color.SetNonStrokingColorN-2.0.30,5,3.0,1,1
org.apache.pdfbox.contentstream.operator.color.SetNonStrokingColorSpace-2.0.30,12,1.0,2,4
org.apache.pdfbox.contentstream.operator.color.SetNonStrokingDeviceCMYKColor-2.0.30,14,3.0,2,2
org.apache.pdfbox.contentstream.operator.color.SetNonStrokingDeviceGrayColor-2.0.30,14,3.0,2,2
org.apache.pdfbox.contentstream.operator.color.SetNonStrokingDeviceRGBColor-2.0.30,14,3.0,2,2
org.apache.pdfbox.contentstream.operator.color.SetStrokingColor-2.0.30,14,2.0,2,4
org.apache.pdfbox.contentstream.operator.color.SetStrokingColorN-2.0.30,5,3.0,1,1
org.apache.pdfbox.contentstream.operator.color.SetStrokingColorSpace-2.0.30,12,1.0,2,4
org.apache.pdfbox.contentstream.operator.color.SetStrokingDeviceCMYKColor-2.0.30,14,3.0,2,2
org.apache.pdfbox.contentstream.operator.color.SetStrokingDeviceGrayColor-2.0.30,14,3.0,2,2
org.apache.pdfbox.contentstream.operator.color.SetStrokingDeviceRGBColor-2.0.30,14,3.0,2,2
org.apache.pdfbox.contentstream.operator.graphics.AppendRectangleToPath-2.0.30,9,2.0,2,4
org.apache.pdfbox.contentstream.operator.graphics.BeginInlineImage-2.0.30,9,2.0,2,3
org.apache.pdfbox.contentstream.operator.graphics.ClipEvenOddRule-2.0.30,5,2.0,2,2
org.apache.pdfbox.contentstream.operator.graphics.ClipNonZeroRule-2.0.30,5,2.0,2,2
org.apache.pdfbox.contentstream.operator.graphics.CloseAndStrokePath-2.0.30,6,2.0,2,2
org.apache.pdfbox.contentstream.operator.graphics.CloseFillEvenOddAndStrokePath-2.0.30,6,2.0,2,2
org.apache.pdfbox.contentstream.operator.graphics.CloseFillNonZeroAndStrokePath-2.0.30,6,2.0,2,2
org.apache.pdfbox.contentstream.operator.graphics.ClosePath-2.0.30,5,2.0,2,3
org.apache.pdfbox.contentstream.operator.graphics.CurveTo-2.0.30,9,2.0,2,5
