Class,CBO,DIT,LCOM,WMC
org.apache.pdfbox.contentstream.operator.graphics.LineTo,8,2,2,6
org.apache.pdfbox.contentstream.operator.graphics.MoveTo,8,2,2,5
org.apache.pdfbox.contentstream.operator.graphics.ShadingFill,7,2,2,4
org.apache.pdfbox.contentstream.operator.graphics.StrokePath,5,2,2,2
org.apache.pdfbox.contentstream.operator.markedcontent.BeginMarkedContentSequence,8,1,2,4
org.apache.pdfbox.contentstream.operator.markedcontent.BeginMarkedContentSequenceWithProperties,9,1,2,5
org.apache.pdfbox.contentstream.operator.markedcontent.DrawObject,12,1,2,7
org.apache.pdfbox.contentstream.operator.markedcontent.EndMarkedContentSequence,7,1,2,2
org.apache.pdfbox.contentstream.operator.state.Concatenate,13,1,2,4
org.apache.pdfbox.contentstream.operator.state.EmptyGraphicsStackException,2,0,0,1
org.apache.pdfbox.contentstream.operator.state.Restore,10,1,2,3
org.apache.pdfbox.contentstream.operator.state.Save,9,1,2,2
org.apache.pdfbox.contentstream.operator.state.SetFlatness,9,1,2,4
org.apache.pdfbox.contentstream.operator.state.SetGraphicsStateParameters,13,1,2,5
org.apache.pdfbox.contentstream.operator.state.SetLineCapStyle,10,1,2,3
org.apache.pdfbox.contentstream.operator.state.SetLineDashPattern,10,1,2,8
org.apache.pdfbox.contentstream.operator.state.SetLineJoinStyle,10,1,2,3
org.apache.pdfbox.contentstream.operator.state.SetLineMiterLimit,9,1,2,3
org.apache.pdfbox.contentstream.operator.state.SetLineWidth,10,1,2,3
org.apache.pdfbox.contentstream.operator.state.SetMatrix,12,1,2,4
org.apache.pdfbox.contentstream.operator.state.SetRenderingIntent,10,1,2,4
org.apache.pdfbox.contentstream.operator.text.BeginText,9,1,2,2
org.apache.pdfbox.contentstream.operator.text.EndText,8,1,2,2
org.apache.pdfbox.contentstream.operator.text.MoveText,11,1,1,6
org.apache.pdfbox.contentstream.operator.text.MoveTextSetLeading,11,1,2,4
org.apache.pdfbox.contentstream.operator.text.NextLine,11,1,2,2
org.apache.pdfbox.contentstream.operator.text.SetCharSpacing,12,1,2,4
org.apache.pdfbox.contentstream.operator.text.SetFontAndSize,15,1,2,6
org.apache.pdfbox.contentstream.operator.text.SetTextHorizontalScaling,12,1,2,4
org.apache.pdfbox.contentstream.operator.text.SetTextLeading,12,1,2,4
org.apache.pdfbox.contentstream.operator.text.SetTextRenderingMode,14,1,2,5
org.apache.pdfbox.contentstream.operator.text.SetTextRise,11,1,2,4
org.apache.pdfbox.contentstream.operator.text.SetWordSpacing,11,1,2,4
org.apache.pdfbox.contentstream.operator.text.ShowText,8,1,2,5
org.apache.pdfbox.contentstream.operator.text.ShowTextAdjusted,8,1,2,5
org.apache.pdfbox.contentstream.operator.text.ShowTextLine,7,1,2,2
org.apache.pdfbox.contentstream.operator.text.ShowTextLineAndSpace,8,1,2,3
org.apache.pdfbox.cos.COSArray,237,1,3,67
org.apache.pdfbox.cos.COSBase,324,0,3,4
org.apache.pdfbox.cos.COSBoolean,24,1,4,11
org.apache.pdfbox.cos.COSDictionary,450,1,4,158
org.apache.pdfbox.cos.COSDocument,75,1,9,68
org.apache.pdfbox.cos.COSFloat,55,2,2,22
org.apache.pdfbox.cos.COSInputStream,10,0,2,11
org.apache.pdfbox.cos.COSInteger,58,2,5,16
org.apache.pdfbox.cos.COSName,446,1,3,18
org.apache.pdfbox.cos.COSNull,22,1,2,4
org.apache.pdfbox.cos.COSNumber,90,1,5,12
org.apache.pdfbox.cos.COSObject,57,1,5,19
org.apache.pdfbox.cos.COSObjectKey,21,0,1,14
org.apache.pdfbox.cos.COSOutputStream,8,0,1,14
org.apache.pdfbox.cos.COSStream,116,2,2,42
org.apache.pdfbox.cos.COSString,71,1,4,25
org.apache.pdfbox.cos.PDFDocEncoding,2,0,1,13
org.apache.pdfbox.cos.UnmodifiableCOSDictionary,1,2,2,3
org.apache.pdfbox.debugger.PDFDebugger,64,0,2,165
org.apache.pdfbox.debugger.PDFDebugger.DocumentOpener,3,0,1,4
org.apache.pdfbox.debugger.colorpane.CSArrayBased,5,0,1,15
org.apache.pdfbox.debugger.colorpane.CSDeviceN,6,0,2,6
org.apache.pdfbox.debugger.colorpane.CSIndexed,8,0,2,6
org.apache.pdfbox.debugger.colorpane.CSSeparation,3,0,1,10
org.apache.pdfbox.debugger.colorpane.ColorBarCellRenderer,2,0,1,1
org.apache.pdfbox.debugger.colorpane.DeviceNColorant,2,0,3,7
org.apache.pdfbox.debugger.colorpane.DeviceNTableModel,3,0,2,13
org.apache.pdfbox.debugger.colorpane.IndexedColorant,2,0,2,7
org.apache.pdfbox.debugger.colorpane.IndexedTableModel,3,0,2,14
org.apache.pdfbox.debugger.flagbitspane.AnnotFlag,5,1,2,4
org.apache.pdfbox.debugger.flagbitspane.EncryptFlag,5,1,2,4
org.apache.pdfbox.debugger.flagbitspane.FieldFlag,4,1,1,15
org.apache.pdfbox.debugger.flagbitspane.Flag,7,0,4,1
org.apache.pdfbox.debugger.flagbitspane.FlagBitsPane,12,0,1,9
org.apache.pdfbox.debugger.flagbitspane.FlagBitsPaneView,1,0,1,4
org.apache.pdfbox.debugger.flagbitspane.FontFlag,5,1,2,4
org.apache.pdfbox.debugger.flagbitspane.PanoseFlag,7,1,5,16
org.apache.pdfbox.debugger.flagbitspane.SigFlag,6,1,2,4
org.apache.pdfbox.debugger.fontencodingpane.FontEncodingPaneController,12,0,1,6
org.apache.pdfbox.debugger.fontencodingpane.FontEncodingView,4,0,3,7
org.apache.pdfbox.debugger.fontencodingpane.FontEncodingView.GlyphCellRenderer,3,0,1,8
org.apache.pdfbox.debugger.fontencodingpane.FontPane,4,0,2,3
org.apache.pdfbox.debugger.fontencodingpane.SimpleFont,8,1,3,7
org.apache.pdfbox.debugger.fontencodingpane.Type0Font,13,1,2,15
org.apache.pdfbox.debugger.fontencodingpane.Type3Font,17,1,3,17
org.apache.pdfbox.debugger.hexviewer.ASCIIPane,6,0,2,9
org.apache.pdfbox.debugger.hexviewer.AddressPane,3,0,1,9
org.apache.pdfbox.debugger.hexviewer.HexChangedEvent,3,0,2,3
org.apache.pdfbox.debugger.hexviewer.HexEditor,9,0,1,14
org.apache.pdfbox.debugger.hexviewer.HexModel,11,0,3,24
org.apache.pdfbox.debugger.hexviewer.HexModelChangedEvent,4,0,2,3
org.apache.pdfbox.debugger.hexviewer.HexPane,9,0,9,51
org.apache.pdfbox.debugger.hexviewer.HexView,8,0,1,5
org.apache.pdfbox.debugger.hexviewer.SelectEvent,3,0,2,3
org.apache.pdfbox.debugger.hexviewer.StatusPane,2,0,1,3
org.apache.pdfbox.debugger.hexviewer.UpperPane,2,0,1,3
org.apache.pdfbox.debugger.pagepane.PagePane,27,0,6,46
org.apache.pdfbox.debugger.pagepane.PagePane.RenderWorker,9,0,1,3
org.apache.pdfbox.debugger.streampane.OperatorMarker,1,0,1,3
org.apache.pdfbox.debugger.streampane.Stream,10,0,3,24
org.apache.pdfbox.debugger.streampane.StreamImageView,6,0,2,10
org.apache.pdfbox.debugger.streampane.StreamPane,11,0,2,18
org.apache.pdfbox.debugger.streampane.StreamPane.DocumentCreator,18,0,1,39
org.apache.pdfbox.debugger.streampane.StreamPaneView,5,0,1,4
org.apache.pdfbox.debugger.streampane.StreamTextView,4,0,3,11
org.apache.pdfbox.debugger.streampane.tooltip.ColorToolTip,6,0,4,6
org.apache.pdfbox.debugger.streampane.tooltip.FontToolTip,6,0,2,7
org.apache.pdfbox.debugger.streampane.tooltip.GToolTip,2,1,1,3
org.apache.pdfbox.debugger.streampane.tooltip.KToolTip,3,1,1,7
org.apache.pdfbox.debugger.streampane.tooltip.RGToolTip,2,1,1,3
org.apache.pdfbox.debugger.streampane.tooltip.SCNToolTip,6,1,1,5
org.apache.pdfbox.debugger.streampane.tooltip.ToolTipController,12,0,1,21
org.apache.pdfbox.debugger.stringpane.StringPane,3,0,3,7
org.apache.pdfbox.debugger.treestatus.TreeStatus,10,0,2,26
org.apache.pdfbox.debugger.treestatus.TreeStatusPane,2,0,1,9
org.apache.pdfbox.debugger.ui.ArrayEntry,6,0,3,6
org.apache.pdfbox.debugger.ui.DebugLog,1,0,4,25
org.apache.pdfbox.debugger.ui.DocumentEntry,7,0,2,5
org.apache.pdfbox.debugger.ui.ErrorDialog,2,0,4,23
org.apache.pdfbox.debugger.ui.FileOpenSaveDialog,3,0,1,13
org.apache.pdfbox.debugger.ui.HighResolutionImageIcon,3,0,1,4
org.apache.pdfbox.debugger.ui.ImageTypeMenu,5,1,1,19
org.apache.pdfbox.debugger.ui.ImageUtil,2,0,1,7
org.apache.pdfbox.debugger.ui.LogDialog,3,0,4,28
org.apache.pdfbox.debugger.ui.MapEntry,7,0,3,8
org.apache.pdfbox.debugger.ui.MenuBase,8,0,1,7
org.apache.pdfbox.debugger.ui.OSXAdapter,2,0,1,26
org.apache.pdfbox.debugger.ui.PDFTreeCellRenderer,17,0,2,49
org.apache.pdfbox.debugger.ui.PDFTreeCellRenderer.OverlayIcon,1,0,1,4
org.apache.pdfbox.debugger.ui.PDFTreeModel,12,0,8,39
org.apache.pdfbox.debugger.ui.PageEntry,9,0,2,9
org.apache.pdfbox.debugger.ui.PrintDpiMenu,3,1,1,11
org.apache.pdfbox.debugger.ui.PrintDpiMenu.PrintDpiMenuItem,1,0,0,1
org.apache.pdfbox.debugger.ui.ReaderBottomPanel,2,0,2,4
org.apache.pdfbox.debugger.ui.RecentFiles,2,0,1,25
org.apache.pdfbox.debugger.ui.RenderDestinationMenu,5,1,1,16
org.apache.pdfbox.debugger.ui.RotationMenu,5,1,1,19
org.apache.pdfbox.debugger.ui.Tree,12,0,1,44
org.apache.pdfbox.debugger.ui.WindowPrefs,1,0,1,7
org.apache.pdfbox.debugger.ui.ZoomMenu,6,1,2,17
org.apache.pdfbox.debugger.ui.ZoomMenu.ZoomMenuItem,1,0,0,1
org.apache.pdfbox.debugger.ui.textsearcher.SearchEngine,1,0,1,6
org.apache.pdfbox.debugger.ui.textsearcher.SearchPanel,2,0,1,15
org.apache.pdfbox.debugger.ui.textsearcher.Searcher,4,0,3,30
